Geneid	RpS12_A_Ribo	RpS12_B_Ribo	RpS12_C_Ribo	Xrp1_A_Ribo	Xrp1_B_Ribo	Xrp1_C_Ribo
FBGN0039015	0	0	0	0	0	0
FBGN0037254	0	0	0	0	0	0
FBGN0266137	0	0	0	0	0	0
FBGN0053337	0	0	0	0	0	0
FBGN0038460	0	0	0	0	0	0
FBGN0261053	171	120	162	204	287	267
FBGN0037375	0	0	2	0	1	0
FBGN0014930	5	2	5	7	11	5
FBGN0037626	0	0	0	0	0	0
FBGN0051051	1	0	0	0	2	0
FBGN0286204	1	0	0	1	2	0
FBGN0045035	179	91	117	122	177	182
FBGN0037754	0	0	2	0	0	0
FBGN0051017	0	0	0	0	0	0
FBGN0039795	105	196	24	390	692	552
FBGN0038476	641	631	689	960	1290	1187
FBGN0037461	0	0	0	0	0	0
FBGN0051407	0	0	0	0	0	0
FBGN0039003	36	20	36	51	82	44
FBGN0039731	47	35	24	27	47	22
FBGN0038003	0	0	0	0	0	0
FBGN0087013	1240	1058	1141	1318	1721	1711
FBGN0259733	0	0	0	0	2	1
FBGN0266176	0	0	0	0	0	0
FBGN0038302	22	34	21	23	14	9
FBGN0263596	0	0	0	0	0	0
FBGN0037424	0	0	0	0	0	0
FBGN0051076	0	0	0	3	2	2
FBGN0002735	3	0	3	3	6	12
FBGN0038462	27	56	21	20	33	37
FBGN0039584	0	0	0	0	0	0
FBGN0028487	1	0	4	1	2	5
FBGN0044511	29	24	13	29	36	40
FBGN0039522	0	0	0	0	0	0
FBGN0051542	0	0	0	0	0	0
FBGN0085328	0	0	0	0	0	0
FBGN0038447	0	0	0	0	0	0
FBGN0037822	16	3	19	10	11	31
FBGN0037504	83	99	66	114	143	131
FBGN0037963	658	616	546	892	996	957
FBGN0039368	0	0	0	0	0	0
FBGN0042102	0	1	0	0	0	1
FBGN0037677	0	0	0	0	0	0
FBGN0038499	91	49	68	105	112	110
FBGN0037572	0	0	0	0	0	0
FBGN0266916	93	77	65	102	143	117
FBGN0038887	0	0	0	0	0	0
FBGN0040227	746	533	603	832	1255	1413
FBGN0039312	0	5	0	1	0	0
FBGN0039599	0	0	0	0	0	0
FBGN0037688	21	26	18	59	51	34
FBGN0044823	7	8	1	9	3	4
FBGN0013813	0	8	0	0	0	0
FBGN0039081	0	0	0	0	0	0
FBGN0263400	0	0	0	0	0	0
FBGN0038331	19	7	14	13	23	15
FBGN0038515	26	23	11	36	59	46
FBGN0039108	0	0	0	1	0	0
FBGN0025574	96	101	77	107	192	142
FBGN0039298	0	0	0	0	0	0
FBGN0038914	0	0	0	0	0	0
FBGN0038760	138	67	114	133	200	194
FBGN0014861	343	235	358	405	540	626
FBGN0037892	14	38	8	14	16	20
FBGN0010803	88	91	85	144	150	160
FBGN0051122	87	99	95	131	153	161
FBGN0286199	0	0	0	0	0	0
FBGN0038173	0	0	4	0	0	0
FBGN0038354	0	0	0	0	0	0
FBGN0004779	0	0	0	0	0	0
FBGN0004118	0	0	0	0	0	0
FBGN0037995	0	0	0	0	0	0
FBGN0027512	76	69	69	97	122	114
FBGN0051106	0	0	0	0	0	0
FBGN0286506	35	21	30	42	41	37
FBGN0039439	0	0	0	0	0	0
FBGN0037964	0	0	0	0	0	0
FBGN0039625	28	15	17	9	15	12
FBGN0039723	0	0	0	0	0	0
FBGN0262955	541	533	549	697	869	804
FBGN0039613	0	0	2	1	1	0
FBGN0051103	1	3	7	2	1	3
FBGN0039807	6	0	4	7	3	8
FBGN0051493	0	0	0	0	0	0
FBGN0038868	17	5	23	26	42	42
FBGN0038787	35	39	35	39	84	68
FBGN0039154	0	0	0	2	1	6
FBGN0051158	93	123	123	147	220	215
FBGN0039600	361	369	324	417	528	523
FBGN0038219	0	0	0	0	0	0
FBGN0262473	119	113	101	194	242	236
FBGN0083984	2	7	2	6	1	6
FBGN0038878	0	0	0	3	0	0
FBGN0039523	0	0	0	0	0	0
FBGN0004389	0	0	0	0	0	0
FBGN0038877	17	21	21	21	57	40
FBGN0039356	8	13	17	8	12	12
FBGN0037455	0	0	0	0	0	0
FBGN0039264	0	0	0	0	0	0
FBGN0287211	0	0	0	0	0	0
FBGN0037994	0	0	0	0	0	0
FBGN0004885	619	459	529	781	1059	958
FBGN0038136	0	0	0	0	0	0
FBGN0051390	74	69	73	119	149	143
FBGN0038948	37	25	43	32	77	60
FBGN0038601	130	98	122	97	167	144
FBGN0264836	0	0	0	0	0	0
FBGN0000277	0	0	0	0	0	0
FBGN0038751	0	0	0	0	0	0
FBGN0266172	0	0	0	0	0	0
FBGN0264326	143	89	99	107	166	167
FBGN0051088	0	0	0	0	0	0
FBGN0039188	37	75	44	49	78	76
FBGN0266448	0	0	0	0	0	0
FBGN0025456	6	30	43	7	18	20
FBGN0040602	0	0	0	0	0	0
FBGN0037386	0	0	0	0	0	0
FBGN0051156	24	20	23	40	57	35
FBGN0037265	2	7	13	4	7	15
FBGN0004197	457	414	385	558	846	779
FBGN0085305	0	0	0	0	0	0
FBGN0037857	0	0	0	0	0	0
FBGN0044810	0	0	0	0	0	0
FBGN0037955	85	66	69	107	149	129
FBGN0037270	265	231	273	298	582	506
FBGN0264899	0	0	0	0	0	0
FBGN0039139	67	48	47	68	89	101
FBGN0041229	0	0	0	0	0	0
FBGN0039286	0	1	3	5	1	5
FBGN0037251	10	13	7	8	8	11
FBGN0051050	0	0	0	0	0	0
FBGN0037719	47	33	40	52	87	63
FBGN0039093	0	0	0	0	0	0
FBGN0016685	1081	942	833	1183	1551	1563
FBGN0038584	25	5	24	18	27	27
FBGN0051337	1	0	0	0	7	0
FBGN0028692	1164	975	900	1273	1798	1833
FBGN0037727	0	0	0	0	0	0
FBGN0002734	12	28	21	20	30	21
FBGN0037563	0	0	0	0	0	105
FBGN0053100	29	6	26	20	44	23
FBGN0038089	0	0	0	0	0	0
FBGN0022800	47	31	27	59	91	88
FBGN0051086	0	0	0	0	0	0
FBGN0042105	0	0	0	0	0	0
FBGN0038575	0	0	0	0	0	0
FBGN0045442	0	0	0	0	0	0
FBGN0051404	0	0	0	0	0	0
FBGN0027657	9	0	5	3	13	2
FBGN0262823	0	0	0	0	0	0
FBGN0039240	43	48	53	97	124	101
FBGN0037792	89	85	65	86	132	122
FBGN0261840	5	0	0	3	6	0
FBGN0039505	9	7	15	7	24	26
FBGN0039790	99	68	78	115	144	139
FBGN0010173	488	323	476	504	693	718
FBGN0039527	43	57	33	116	159	125
FBGN0015570	0	0	0	0	0	0
FBGN0051015	0	0	0	0	0	3
FBGN0037617	30	33	20	15	48	28
FBGN0039748	0	0	0	0	2	0
FBGN0028422	0	0	0	0	0	0
FBGN0038731	0	0	0	0	0	0
FBGN0038043	144	121	104	140	176	181
FBGN0004777	0	0	2	0	0	0
FBGN0037293	57	44	33	57	63	53
FBGN0039009	0	0	0	0	0	0
FBGN0039766	2	1	1	4	4	4
FBGN0039283	0	0	2	7	0	3
FBGN0037818	0	0	0	0	0	0
FBGN0037492	6	13	6	5	14	6
FBGN0039668	41	23	67	91	174	150
FBGN0014427	257	209	151	357	509	395
FBGN0261286	181	125	119	180	218	272
FBGN0038282	0	0	0	0	0	0
FBGN0038473	224	157	171	197	200	257
FBGN0039016	91	88	96	120	144	129
FBGN0039067	34	12	29	47	54	34
FBGN0087012	0	0	0	0	0	0
FBGN0039555	72	40	61	95	149	136
FBGN0053970	25	29	21	61	91	61
FBGN0085326	0	0	0	0	0	0
FBGN0037538	155	128	107	141	202	171
FBGN0086768	15	1	11	20	41	27
FBGN0038722	100	65	81	93	197	164
FBGN0259244	108	120	110	110	175	226
FBGN0037481	26	19	16	15	39	33
FBGN0039810	0	0	0	0	0	0
FBGN0040534	119	114	105	192	184	158
FBGN0014135	0	1	0	0	7	3
FBGN0039058	0	0	0	0	0	0
FBGN0085308	0	1	0	1	0	0
FBGN0051119	0	0	0	0	0	0
FBGN0037625	0	0	0	0	0	0
FBGN0262559	145	103	100	117	212	186
FBGN0051528	0	0	0	0	0	0
FBGN0278600	0	0	0	0	0	0
FBGN0038369	81	55	51	97	157	158
FBGN0039483	0	0	0	0	0	0
FBGN0040679	0	0	0	0	0	0
FBGN0039663	15	22	12	5	19	1
FBGN0046332	0	0	0	0	0	0
FBGN0046214	432	339	360	511	689	714
FBGN0037655	74	89	56	79	118	97
FBGN0038692	52	27	37	51	70	44
FBGN0263401	0	0	0	0	0	0
FBGN0000036	0	0	0	0	7	7
FBGN0038397	0	0	0	0	0	0
FBGN0037467	60	50	44	90	101	92
FBGN0039778	0	0	0	0	0	0
FBGN0039169	51	28	33	54	71	78
FBGN0000015	0	0	0	0	0	0
FBGN0010247	294	331	279	212	197	170
FBGN0037607	1043	708	906	1199	1791	1764
FBGN0261847	2	3	0	0	0	0
FBGN0039449	25	23	15	27	45	38
FBGN0037798	0	0	0	0	0	0
FBGN0261789	135	164	85	124	185	183
FBGN0002542	207	209	151	247	375	345
FBGN0015790	130	270	163	240	313	328
FBGN0053339	0	0	0	0	0	0
FBGN0043799	12	4	3	12	22	21
FBGN0038450	0	0	1	0	0	0
FBGN0086613	112	79	115	157	182	173
FBGN0259975	0	0	0	0	0	0
FBGN0086355	118	116	134	205	297	294
FBGN0037489	123	111	108	140	220	217
FBGN0051098	9	4	5	7	10	19
FBGN0037399	0	0	0	0	0	0
FBGN0014869	59	87	49	78	119	106
FBGN0003884	5432	4797	4699	6056	10011	10347
FBGN0042206	0	0	0	5	0	0
FBGN0029503	69	27	38	79	87	79
FBGN0037322	0	0	0	0	0	0
FBGN0039806	0	0	0	0	0	0
FBGN0051533	0	0	0	0	0	0
FBGN0027866	173	164	190	157	250	296
FBGN0039835	29	12	19	55	70	58
FBGN0037703	36	38	48	63	62	71
FBGN0038952	1	0	0	0	0	0
FBGN0039085	0	0	0	0	0	0
FBGN0026399	0	0	0	0	0	0
FBGN0037609	27	26	15	32	42	27
FBGN0010015	0	0	0	0	0	0
FBGN0037304	0	0	0	0	0	0
FBGN0263782	48	41	48	47	113	102
FBGN0026563	0	0	0	0	0	0
FBGN0051100	0	7	1	1	6	1
FBGN0046247	3	4	22	21	14	32
FBGN0037739	25	41	16	42	79	40
FBGN0039671	0	0	0	4	1	118
FBGN0086610	0	0	0	0	0	0
FBGN0039157	6	7	2	3	8	6
FBGN0037291	0	0	0	0	0	0
FBGN0039437	0	0	0	0	0	0
FBGN0039118	2	14	1	0	6	14
FBGN0038404	1	8	0	0	1	8
FBGN0043043	0	0	0	0	0	0
FBGN0039862	0	0	1	0	0	0
FBGN0039367	0	0	0	0	0	0
FBGN0261860	0	0	0	0	0	0
FBGN0015781	30	17	18	29	48	37
FBGN0039158	23	38	30	27	58	34
FBGN0004107	60	64	63	75	101	95
FBGN0039193	0	0	0	0	0	0
FBGN0039251	0	0	0	1	1	2
FBGN0039854	6	1	5	12	19	12
FBGN0051141	0	0	0	0	0	0
FBGN0038388	8	12	11	7	18	12
FBGN0039313	0	12	0	0	0	0
FBGN0042710	0	0	0	0	0	0
FBGN0037342	60	66	46	73	97	82
FBGN0038592	0	0	0	0	0	3
FBGN0039354	0	0	0	0	0	0
FBGN0024963	0	0	2	0	0	0
FBGN0083971	0	0	0	0	0	0
FBGN0038102	0	0	0	0	0	0
FBGN0038535	701	642	566	904	1591	1249
FBGN0264357	86	97	90	135	147	155
FBGN0027492	375	284	304	403	590	478
FBGN0039194	0	0	0	0	0	0
FBGN0026380	336	198	250	376	599	431
FBGN0038042	0	2	0	0	0	0
FBGN0004595	0	0	6	1	4	0
FBGN0038651	194	122	145	167	235	184
FBGN0038571	26	15	41	51	32	59
FBGN0020385	69	50	50	91	135	146
FBGN0037761	0	0	1	0	0	0
FBGN0037876	11	29	24	13	26	17
FBGN0003861	0	0	0	0	0	0
FBGN0260462	378	310	343	434	696	621
FBGN0001281	0	0	0	0	0	0
FBGN0024912	13	28	22	20	17	34
FBGN0039467	0	0	3	0	0	0
FBGN0259831	0	0	0	0	0	0
FBGN0026250	184	201	164	255	301	256
FBGN0038893	20	11	19	23	17	21
FBGN0037448	0	0	0	1	0	0
FBGN0262982	0	0	0	0	0	0
FBGN0038436	0	0	0	0	0	0
FBGN0038979	0	0	0	0	0	0
FBGN0025781	97	97	82	124	162	134
FBGN0262010	0	0	0	0	0	0
FBGN0038845	0	0	0	0	0	0
FBGN0004510	30	31	35	57	53	60
FBGN0039581	241	216	194	253	342	308
FBGN0264563	0	0	0	0	0	0
FBGN0266173	0	0	0	0	0	0
FBGN0037720	52	79	26	51	77	73
FBGN0051081	0	0	0	0	0	0
FBGN0262582	315	310	247	354	445	391
FBGN0038114	0	0	3	0	0	0
FBGN0037713	5	5	6	15	13	20
FBGN0039187	62	42	49	57	92	84
FBGN0005671	175	226	165	261	484	428
FBGN0267385	407	358	409	435	709	780
FBGN0039043	80	39	46	51	126	114
FBGN0039215	61	40	47	38	65	68
FBGN0038953	113	76	62	75	100	102
FBGN0039670	0	0	2	11	10	441
FBGN0266579	0	0	1	0	0	0
FBGN0024555	462	400	431	632	882	906
FBGN0038611	0	0	0	0	0	0
FBGN0037814	13	44	8	29	31	46
FBGN0037900	3	36	3	4	12	11
FBGN0038643	0	0	1	9	2	216
FBGN0002441	69	75	84	141	160	135
FBGN0038053	51	46	22	67	80	72
FBGN0023212	42	20	17	28	75	29
FBGN0261838	3	4	1	5	3	10
FBGN0038820	0	0	0	0	0	0
FBGN0019828	0	0	0	0	0	0
FBGN0039336	10	3	12	7	10	18
FBGN0063649	0	9	0	0	0	1
FBGN0038421	33	32	25	28	21	35
FBGN0039261	201	244	184	278	377	373
FBGN0051029	0	0	0	0	2	0
FBGN0039577	0	0	0	0	0	0
FBGN0038377	0	0	0	0	0	0
FBGN0261808	8	7	9	7	14	7
FBGN0039366	0	0	0	0	0	0
FBGN0037647	32	27	34	54	51	57
FBGN0039210	57	71	58	73	60	70
FBGN0039213	205	203	162	294	423	367
FBGN0038002	1	0	0	1	0	1
FBGN0039832	0	0	0	0	0	0
FBGN0037433	118	175	100	122	210	215
FBGN0266064	209	204	150	234	280	272
FBGN0038821	0	0	0	0	0	0
FBGN0261287	0	0	0	0	0	0
FBGN0010225	20	39	29	13	10	15
FBGN0039099	0	0	0	0	0	0
FBGN0037675	0	0	0	0	0	0
FBGN0038686	38	39	29	50	71	44
FBGN0039655	0	0	0	0	0	0
FBGN0027562	0	0	0	0	0	0
FBGN0038159	0	0	0	0	0	0
FBGN0037828	0	0	0	0	0	0
FBGN0037454	0	0	0	0	0	0
FBGN0260386	18	11	7	17	19	36
FBGN0004172	0	0	0	0	0	0
FBGN0038510	0	0	0	0	0	0
FBGN0039704	307	232	210	512	768	700
FBGN0037949	8	13	28	24	44	48
FBGN0039594	111	129	123	117	182	214
FBGN0262005	0	0	0	0	0	0
FBGN0260935	22	25	44	61	56	47
FBGN0266454	0	0	0	0	0	0
FBGN0053783	0	0	0	0	0	0
FBGN0037920	21	16	15	14	21	40
FBGN0260940	29	31	30	31	65	31
FBGN0039269	59	64	58	54	78	66
FBGN0037746	136	110	121	161	210	227
FBGN0039712	24	38	26	19	43	35
FBGN0262362	2	1	0	0	0	0
FBGN0039337	34	23	37	35	60	50
FBGN0038486	0	0	0	0	0	0
FBGN0259215	0	0	0	0	0	0
FBGN0267408	0	0	0	3	1	0
FBGN0000047	7	10	10	4	29	14
FBGN0039343	0	0	0	0	0	0
FBGN0038196	93	125	90	85	86	82
FBGN0250846	0	0	0	0	0	0
FBGN0039727	61	51	58	91	117	90
FBGN0040608	0	0	0	0	0	0
FBGN0267652	0	0	0	0	0	0
FBGN0052939	0	0	0	0	0	0
FBGN0038028	0	0	0	0	0	0
FBGN0003117	39	35	39	51	94	66
FBGN0051140	0	0	6	0	6	1
FBGN0037224	0	0	0	0	0	0
FBGN0004913	151	133	150	193	232	282
FBGN0037297	29	21	15	29	47	37
FBGN0039626	61	87	75	52	72	114
FBGN0263118	0	0	0	3	0	0
FBGN0038275	48	130	46	46	75	94
FBGN0039475	0	1	0	0	0	0
FBGN0039304	38	53	28	48	63	50
FBGN0038167	9	7	23	23	32	22
FBGN0038922	47	69	74	61	136	123
FBGN0037838	24	40	15	31	40	36
FBGN0051019	0	0	0	0	0	0
FBGN0051004	0	0	0	0	0	4
FBGN0037689	40	27	19	50	71	64
FBGN0037974	0	0	0	0	0	0
FBGN0039153	12	6	19	18	13	9
FBGN0038057	35	33	35	28	37	44
FBGN0051157	0	0	1	0	0	0
FBGN0046886	0	0	0	0	0	0
FBGN0038968	229	166	231	236	285	321
FBGN0039342	0	0	0	0	0	0
FBGN0045469	0	0	0	0	0	0
FBGN0051321	0	0	0	0	0	0
FBGN0037670	47	98	58	66	82	93
FBGN0039064	0	0	3	0	5	1
FBGN0016754	26	13	14	18	40	46
FBGN0039490	0	0	0	0	0	0
FBGN0003065	0	0	4	0	0	0
FBGN0038131	0	0	0	0	0	0
FBGN0259212	322	222	293	381	559	534
FBGN0053333	3	23	330	0	0	0
FBGN0038359	0	0	0	0	0	0
FBGN0083969	46	91	59	40	82	79
FBGN0001255	261	418	169	358	601	409
FBGN0039200	0	0	0	0	0	0
FBGN0039466	154	118	107	169	173	207
FBGN0262483	0	0	3	0	0	0
FBGN0039740	45	41	31	30	65	59
FBGN0051523	50	65	46	81	97	105
FBGN0037912	36	35	36	48	88	75
FBGN0039234	169	108	131	179	239	261
FBGN0039128	15	10	15	7	21	23
FBGN0039510	0	0	0	0	0	0
FBGN0288846	152	153	182	203	240	220
FBGN0039348	109	89	104	147	203	235
FBGN0039680	428	289	398	411	506	602
FBGN0038200	0	0	0	0	1	0
FBGN0039424	0	0	0	0	0	0
FBGN0037415	0	0	0	0	0	0
FBGN0037506	0	0	0	0	0	0
FBGN0266178	0	0	0	0	0	0
FBGN0085382	0	0	0	0	0	0
FBGN0051288	0	0	0	0	0	0
FBGN0039792	0	0	0	0	0	0
FBGN0037755	91	72	73	83	135	105
FBGN0039411	17	18	22	27	30	28
FBGN0053512	0	0	0	0	0	0
FBGN0260226	4	66	25	16	29	15
FBGN0038160	0	0	4	0	0	0
FBGN0038869	27	37	38	36	66	46
FBGN0037981	45	30	33	34	36	46
FBGN0051373	1	2	0	0	1	0
FBGN0037358	27	16	17	21	31	31
FBGN0039771	0	0	0	0	0	0
FBGN0286071	118	154	44	115	182	126
FBGN0042104	0	0	0	0	0	0
FBGN0037555	32	44	50	49	67	82
FBGN0262143	0	0	0	0	0	0
FBGN0287589	11	20	21	16	11	13
FBGN0040607	0	0	0	0	0	0
FBGN0038248	0	3	0	0	0	0
FBGN0000455	62	33	46	41	106	96
FBGN0038737	12	9	10	9	13	15
FBGN0003944	7	0	8	4	4	7
FBGN0263289	483	380	475	528	889	755
FBGN0037873	85	57	61	131	176	131
FBGN0044871	36	11	16	35	54	27
FBGN0039808	0	0	3	0	0	0
FBGN0039259	21	23	23	25	43	49
FBGN0000246	1	6	2	3	7	7
FBGN0038078	0	0	0	0	0	0
FBGN0039002	0	0	0	0	0	0
FBGN0051342	64	59	61	81	121	79
FBGN0038683	31	30	31	47	52	68
FBGN0083986	18	42	5	15	9	9
FBGN0037456	0	0	0	0	0	0
FBGN0038951	24	15	13	22	20	10
FBGN0037894	343	288	322	381	528	569
FBGN0261583	0	0	0	0	0	0
FBGN0039601	70	33	47	88	120	147
FBGN0286075	25	6	13	14	22	13
FBGN0028499	16	5	10	14	21	21
FBGN0051418	0	0	0	0	0	0
FBGN0004901	114	89	101	120	176	177
FBGN0051450	28	27	28	40	49	45
FBGN0037753	2	2	0	0	3	3
FBGN0013972	0	0	0	0	0	0
FBGN0263929	57	84	48	85	136	112
FBGN0038641	0	0	2	0	0	0
FBGN0051002	0	0	0	0	0	0
FBGN0001280	83	75	61	104	118	108
FBGN0039543	14	14	19	24	25	32
FBGN0038400	19	18	29	48	67	59
FBGN0022344	79	46	53	82	103	114
FBGN0285912	0	0	0	0	0	0
FBGN0261993	0	0	0	0	0	0
FBGN0027620	279	225	292	246	388	376
FBGN0037895	0	0	0	0	0	0
FBGN0038479	0	0	0	0	0	0
FBGN0051287	0	0	0	1	0	3
FBGN0037819	0	0	0	0	0	0
FBGN0004897	0	0	0	0	0	0
FBGN0261885	689	463	548	864	1226	1195
FBGN0038389	25	15	31	12	22	20
FBGN0260003	483	378	402	587	794	703
FBGN0003511	34	22	33	28	49	58
FBGN0019637	151	147	151	156	162	184
FBGN0038299	0	0	0	0	3	0
FBGN0037280	0	0	0	0	0	0
FBGN0026566	24	16	18	31	68	37
FBGN0262539	0	0	0	0	0	0
FBGN0039800	0	0	2	3	0	0
FBGN0020510	60	65	54	77	138	125
FBGN0038921	0	0	0	0	0	0
FBGN0028833	29	25	8	13	41	23
FBGN0013576	124	112	123	122	151	157
FBGN0039465	103	101	91	96	169	194
FBGN0264324	17	18	15	23	18	30
FBGN0040252	0	0	0	0	0	0
FBGN0038132	0	0	0	0	0	0
FBGN0037913	79	54	106	201	285	215
FBGN0283438	97	71	77	101	158	155
FBGN0037408	0	0	0	0	0	0
FBGN0039481	5	0	1	3	1	3
FBGN0028734	452	467	395	525	741	735
FBGN0037862	0	0	0	0	0	0
FBGN0039080	0	0	0	0	0	0
FBGN0039073	2	0	4	0	0	2
FBGN0039227	311	322	260	339	502	376
FBGN0000046	40	69	68	39	77	60
FBGN0037402	0	0	0	0	0	0
FBGN0038492	3	0	10	10	11	4
FBGN0028837	112	134	146	154	230	218
