ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0048469	cell maturation	4/20	212/12678	0.0188679245283019	11.9603773584906	6.39691490261011	0.000298393481679052	0.0413767670074589	0.0276403504300839	mira/sqd/SMC1/krimp	4
GO:0071695	anatomical structure maturation	4/20	215/12678	0.0186046511627907	11.793488372093	6.34469073541543	0.000314811482040967	0.0413767670074589	0.0276403504300839	mira/sqd/SMC1/krimp	4
GO:0140965	secondary piRNA processing	2/20	19/12678	0.105263157894737	66.7263157894737	11.3961219235236	0.000397853528917874	0.0413767670074589	0.0276403504300839	krimp/SoYb	2
GO:0021700	developmental maturation	4/20	250/12678	0.016	10.1424	5.80323687806739	0.000557615705350449	0.043494025017335	0.0290547130682602	mira/sqd/SMC1/krimp	4
GO:0051301	cell division	4/20	270/12678	0.0148148148148148	9.39111111111111	5.53976266257328	0.000744704230445837	0.0464695439798202	0.0310424079217423	mira/sti/mud/SoYb	4
GO:0034587	piRNA processing	2/20	32/12678	0.0625	39.61875	8.69435382630806	0.00113990556171159	0.0479836989975856	0.0320538879943386	krimp/SoYb	2
GO:0007417	central nervous system development	4/20	305/12678	0.0131147540983607	8.31344262295082	5.13895682599513	0.00117325466475331	0.0479836989975856	0.0320538879943386	mira/SMC1/sti/mud	4
GO:0007309	oocyte axis specification	3/20	145/12678	0.0206896551724138	13.1151724137931	5.83212438258125	0.00144836959431189	0.0479836989975856	0.0320538879943386	mira/sqd/krimp	3
GO:0006406	mRNA export from nucleus	2/20	37/12678	0.0540540540540541	34.2648648648649	8.05446330378841	0.00152338170794821	0.0479836989975856	0.0320538879943386	sqd/Dbp80	2
GO:0007308	oocyte construction	3/20	149/12678	0.0201342281879195	12.7630872483221	5.74112423874782	0.0015661428454529	0.0479836989975856	0.0320538879943386	mira/sqd/krimp	3
GO:0055059	asymmetric neuroblast division	2/20	39/12678	0.0512820512820513	32.5076923076923	7.83309222000791	0.00169173297747898	0.0479836989975856	0.0320538879943386	mira/mud	2
GO:0055057	neuroblast division	2/20	42/12678	0.0476190476190476	30.1857142857143	7.53062220487568	0.00196013325620869	0.0483661111815182	0.0323093455261154	mira/mud	2
GO:0006403	RNA localization	3/20	166/12678	0.0180722891566265	11.4560240963855	5.39011397983675	0.00213343109242723	0.0483661111815182	0.0323093455261154	mira/sqd/Dbp80	3
GO:0048599	oocyte development	3/20	167/12678	0.0179640718562874	11.3874251497006	5.37107019435683	0.00217027421968351	0.0483661111815182	0.0323093455261154	mira/sqd/krimp	3
GO:0051028	mRNA transport	2/20	47/12678	0.0425531914893617	26.9744680851064	7.09116223361877	0.00244938304701636	0.0509471673779402	0.0340335328638062	sqd/Dbp80	2
GO:0070918	regulatory ncRNA processing	2/20	50/12678	0.04	25.356	6.8590564682052	0.0027678117359617	0.0539723288512532	0.0360543897184485	krimp/SoYb	2
GO:0009994	oocyte differentiation	3/20	189/12678	0.0158730158730159	10.0619047619048	4.98915802846307	0.00308363141580122	0.0565937059841165	0.0378055120946527	mira/sqd/krimp	3
GO:0006405	RNA export from nucleus	2/20	57/12678	0.0350877192982456	22.2421052631579	6.38893983545043	0.00358230810642786	0.0620933405114162	0.0414793570217963	sqd/Dbp80	2
GO:0045451	pole plasm oskar mRNA localization	2/20	63/12678	0.0317460317460317	20.1238095238095	6.04841739906198	0.00435886015099662	0.0644297270525069	0.0430401010674641	mira/sqd	2
GO:0009798	axis specification	3/20	221/12678	0.0135746606334842	8.60497737556561	4.53344162954749	0.00478512287605952	0.0644297270525069	0.0430401010674641	mira/sqd/krimp	3
